station_id,navn,eier,voltage_kv,nearest_osm_m,driftsattaar
,Sekundærstasjon,STAVANGER STEEL AS,50.0,1397.6885900773361,
,,TENSIO TN AS,66.0,24397.251798199013,
,,TENSIO TN AS,66.0,18126.66229460239,
,,TENSIO TN AS,66.0,14958.797029112335,
,,TENSIO TN AS,66.0,1611.1843700347438,
,Stokkfjellet transformatorstasjon,ANEO VIND AS,132.0,4419.401719140531,2021.0
,Hundhammerfjellet transformatorstasjon,ANEO VIND AS,66.0,8368.76624115678,1998.0
,"TS132 (T01, T02, T03)",OMYA HUSTADMARMOR AS,132.0,1136.7262694646724,1997.0
,T1_ÅMDAL,SKAFSÅ KRAFTVERK ANS,66.0,9431.31516925885,1993.0
,T1_OSEN,SKAFSÅ KRAFTVERK ANS,66.0,12998.178510582475,2001.0
,,GLITRE NETT AS,66.0,2705.806215252962,
,,GLITRE NETT AS,66.0,6117.1921668446275,
,,GLITRE NETT AS,66.0,19059.290636921534,
,,GLITRE NETT AS,66.0,20448.423920990153,
,,GLITRE NETT AS,132.0,9270.96967596642,
,,GLITRE NETT AS,66.0,8891.05774296802,
,,GLITRE NETT AS,50.0,2073.156520443618,
,,GLITRE NETT AS,50.0,3780.167477275722,
,,GLITRE NETT AS,50.0,1705.8039479429806,
,,GLITRE NETT AS,50.0,4918.742291148823,
,,GLITRE NETT AS,50.0,2947.651898075114,
,,GLITRE NETT AS,50.0,3429.6107075982977,
,,GLITRE NETT AS,50.0,679.3181937202644,
,,GLITRE NETT AS,50.0,1604.6473132704953,
,Strømgaten,BKK AS,132.0,917.5981091953054,1950.0
,Koengen,BKK AS,132.0,1301.212701931697,1965.0
,,FAGNE AS,300.0,3806.1173816854403,
,,FAGNE AS,66.0,1407.151444373953,
,,FAGNE AS,66.0,11040.244850302352,
,,ARVA AS,66.0,893.5459867415811,
,,ARVA AS,132.0,4309.567262887572,
,,ARVA AS,66.0,6758.280679975867,
,,ARVA AS,66.0,1219.9408334051773,
,,ARVA AS,66.0,1278.7918538881966,
,,LINJA AS,66.0,3649.357669878622,
,,LINJA AS,66.0,2587.3420278357207,
,,LINJA AS,66.0,2811.9957215674726,
,,LINJA AS,132.0,4224.027102975611,
,AAMDAL,TELEMARK NETT AS,66.0,9429.62057383151,1920.0
,NESLANDSVATN TRANSFORMATORSTASJON,BANE NOR SF,55.0,9355.57236175064,1946.0
,TANGEN OMFORMERSTASJON,BANE NOR SF,66.0,2156.49021680835,1953.0
,KONGSVINGER OMFORMERSTASJON,BANE NOR SF,66.0,634.2714149894646,1951.0
,NORDAGUTU TRANSFORMATORSTASJON,BANE NOR SF,55.0,580.2283193954752,1935.0
,SANDE TRANSFORMATORSTASJON,BANE NOR SF,55.0,1092.6246323072016,1956.0
,ASKER TRANSFORMATORSTASJON,BANE NOR SF,55.0,657.5900734623993,1965.0
,SKOLLENBORG OMFORMERSTASJON,BANE NOR SF,55.0,1177.0929509314428,1925.0
,SOLUM OMFORMERSTASJON,BANE NOR SF,132.0,7419.034428067995,2018.0
,FRON OMFORMERSTASJON,BANE NOR SF,66.0,1734.537186645,1967.0
,LUNNER OMFORMERSTASJON,BANE NOR SF,132.0,1035.8588196695202,1961.0
,HAUGASTØL OMFORMERSTASJON,BANE NOR SF,66.0,1091.5826671103573,1964.0
,MJØLFJELL OMFORMERSTASJON,BANE NOR SF,66.0,19374.49510773898,1964.0
,NELAUG OMFORMERSTASJON,BANE NOR SF,66.0,932.8515984257776,1951.0
,ROPPA KR.VERK,ELVIA AS,66.0,8150.387390273452,
,RNVA,ELVIA AS,66.0,1133.6941013277747,
,LØPET KRV,ELVIA AS,66.0,4096.942565509355,
,Pilestredet,ELVIA AS,132.0,919.8349803389799,
,Solli,ELVIA AS,132.0,1008.0860462893205,
,Hammeren,ELVIA AS,66.0,2749.9746517341687,
,Briskeby,ELVIA AS,132.0,1144.4327779473952,
,Moksa Kraftstasjon,VEVIG AS,66.0,706.4000952358525,1920.0
,Fåvang trafostasjon,VEVIG AS,66.0,9270.194287014765,2022.0
,LEIKANGER TRANSFORMATORSTASJON,SYGNIR AS,132.0,2909.8416423952426,2020.0
,VANGEN TRANSFORMATORSTASJON,SYGNIR AS,66.0,7983.178951940937,1980.0
