country,publisher,dataset_name,contents,voltage_floor_kv,voltage_detail,format,access_method,download_url,download_size,licence_name,licence_verbatim,licence_odbl_mixable,last_updated,fetch_verified,assessment,notes
Norway,NVE (Norges vassdrags- og energidirektorat),"Kraftlinjer / NVE Kraftsystem Nettanlegg (Nettanlegg4 MapServer, layers 0-3)","Overhead line centrelines for the whole Norwegian high-voltage network, split into layers: 0 Transmisjonsnett luftledning (390 features, count-verified), 1 Regionalnett luftledning (3,706 features, count-verified), 2 Distribusjonsnett, 3 Sjokabler (submarine cables). Attributes verified on layer 0: spenning_kv (double), eier + eierorgnr (owner name and org number), navn, objekttype, nveNettnivaa, sosiNettnivaa, driftsattaar (commissioning year), malemetode, noyaktighet (positional accuracy), nveEndretDato, globalID.",1.0,"Dataset scope stated as ""det hoyspente luftledningsnettet i Norge... sentral-, regional- og hoyspent distribusjonsnett"", 1 kV and above. Per-feature kV in spenning_kv, so a 50 kV filter is trivial. Overhead lines only - underground cables excluded (submarine cables are in layer 3).","ArcGIS REST (GeoJSON/JSON via /query), WMS; SOSI via the NVE download portal",arcgis_rest,https://kart.nve.no/enterprise/rest/services/Nettanlegg4/MapServer/0/query?where=1%3D1&outFields=*&f=geojson,"small - 390 + 3,706 line features in the two transmission/regional layers; maxRecordCount 2000 so paginate with resultOffset",NLOD 1.0 (Norsk lisens for offentlige data),,yes,Metadata revision date on data.norge.no is 2013-01-01 with metadata last updated 2026-05-09; the service itself carries per-feature nveEndretDato/kildeEndretDato so real currency is checkable per row. Service description text is stale (mentions a 2011 update) - treat the stated date as unreliable and use nveEndretDato.,True,supersedes_osm,"Best-in-region source. Verified this session: MapServer root JSON (layer list, Query supported, maxRecordCount 2000), layer 0 field list, layer 0 count=390, layer 1 count=3706. Licence NLOD 1.0 confirmed on data.norge.no DCAT record (http://publications.europa.eu/resource/authority/licence/NLOD_1_0) - attribution-only, ODbL-compatible. The interactive download portal at http://nedlasting.nve.no/gis/ is a JS app and could not be fetched, but the ArcGIS REST /query route needs no portal. copyrightText field on the service is empty - cite NVE + NLOD from the DCAT record, not the service. Geonorge kartkatalog pages are JS-only; use data.norge.no mirrors (uuid 5a99af63-9ae1-3635-b686-1dff6aceddba) for metadata."
Norway,NVE (Norges vassdrags- og energidirektorat),"Transformatorstasjoner (Nettanlegg4 MapServer, layer 5)","Point locations of transformer/substations in the Norwegian high-voltage network. Verified field list: navn, eier, eierorgnr, objekttype, nveNetbasID, nveNettnivaa, sosiNettnivaa, spenning_kv, driftsattaar, nveOpprettetDato, nveEndretDato, kildeEndretDato, malemetode, noyaktighet, globalID.",1.0,"spenning_kV populated per station; scope is ""storre transformatorer i det hoyspente kraftnettet"".","ArcGIS REST (GeoJSON/JSON via /query), WMS; SOSI via NVE download portal",arcgis_rest,https://kart.nve.no/enterprise/rest/services/Nettanlegg4/MapServer/5/query?where=1%3D1&outFields=*&f=geojson,"small (point layer, maxRecordCount 2000)",NLOD 1.0 (Norsk lisens for offentlige data),,yes,"data.norge.no DCAT: issued 2012-01-01, modified 2013-01-01; per-feature nveEndretDato available",True,supersedes_osm,"Separate entry per instruction 6 - it is a distinct layer with a distinct DCAT record (uuid d4c046a3-dc76-3f47-a19c-caf87811b979) even though it shares the MapServer with the line layers. Layer 5 field list fetch-verified this session. Point geometry only - no substation polygons, so OSM substation areas still carry footprint information NVE does not."
Denmark,"GeoDanmark (municipalities + Klimadatastyrelsen), served via Datafordeler",GeoDanmark Vektor - object type Hoejspaendingsledning (Teknik theme),"Nationwide high-voltage overhead line traces. Definition verbatim: ""trace for hoejspaendingsledning ophaengt paa staal- eller parvise traemaster"". Geometry GM_Curve with Z, EPSG:25832. Two attributes: geometri and spaending. Sibling object types in the same Teknik theme: Mast, Telemast, TekniskAnlaegFlade, TekniskAnlaegPunkt, Vindmoelle.",10.0,"spaending = ""det nominelle spaendingsinterval for ledningen"", banded: 10-49 kV (>=10 and <50), 50-131 kV (>=50 and <132), 132-399 kV (>=132 and <400), 400 kV (>=400), Ukendt. Bands map almost exactly onto a 50 kV floor - select 50-131, 132-399, 400. Bands not exact kV, so no per-line rating.","GeoPackage, GML, JSON, CSV (pre-generated file download); also WFS and WMS",api_key_or_registration,https://datafordeler.dk/dataoversigt/geodanmark-vektor/geodanmark-vektor-fildownload/,"not stated on the service page (nationwide GeoDanmark vector, pre-generated per-entity files)",Vilkaar for brug af frie geografiske data (GeoDanmark-data),"data, som frit bl.a. kan: kopieres, distribueres og offentliggoeres; aendres og sammensaettes | attribution: ""Indeholder grunddata fra GeoDanmark"" (plus retrieval date, e.g. ""Indeholder grunddata fra GeoDanmark, januar 2021"")",yes,unknown - update frequency not stated on the Fildownload page; GeoDanmark is maintained on a continuous municipal update cycle,True,supersedes_osm,"This is the Danish answer, not Energinet. Verified this session: the Teknik object-type index, the Hoejspaendingsledning object-type page (definition, geometry, spaending value list), the GeoDanmark licence PDF (permission grant and attribution wording), and the Datafordeler Fildownload service page (GPKG/GML/JSON/CSV, nationwide, self-service account). Access needs a free Datafordeler account: ""En bruger med MitID eller e-mail/adgangskode"" plus ""Et IT-system og tilhoerende autentifikation (API keys med mere)"". Licence has a pass-through clause - you must ""stille en kopi af disse vilkaar, evt. ved hjaelp af et link, til raadighed for tredjepart"" - workable alongside ODbL but the attribution string must be carried. NO substation object type in GeoDanmark: Teknik has Mast but nothing for transformerstation, and TekniskAnlaegPunkt is a BBR marker with no type attribute (checked). So Danish substations have no ODbL-mixable authoritative source - keep OSM for those."
Denmark,Energinet,El kabler og Luftledninger (INSPIRE_Electricity_cables),"Energinet's in-service transmission network. WFS serves two feature types, verbatim: INSPIRE_Electricity_cables:Electricity_cables_underground and INSPIRE_Electricity_cables:Electricity_cables_overhead.",132.0,"""det idriftsatte transmissionsnet 400 kV, 150 kV og 132 kV i Danmark"" - transmission only, three discrete levels, includes underground cable as well as overhead.","WFS 2.0.0 with GeoJSON, SHAPE+ZIP, GeoPackage, GML2/3/3.2, KML, CSV output; also WMS",wfs_wms,https://agis.energinet.dk/server/services/INSPIRE/INSPIRE_Electricity_cables/MapServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,small (national transmission network only),Rettigheder til Energinets GIS produkter (Energinet copyright terms),"Maa ikke anvende i forbindelse med projektering, lednings paavisning og gravearbejder | attribution: ""Copyright, Energinet.dk"" or ""(c) Energinet.dk""",no,"Metadata: published 2013-11-28, last revision 2024-08-20 (INSPIRE service record separately dated 2019-04-24)",True,unusable,"Technically excellent, legally blocked. Verified this session: geodata-info.dk record 9e479f3e (service) and a4234f1b (dataset, incl. the ISO constraints in Danish), plus the live WFS GetCapabilities (feature types and output formats confirmed; Fees and AccessConstraints elements are empty in the capabilities, which is misleading - the real terms are in the ISO metadata). Access constraint says ""no limitations to public access"", but the USE constraints bar exactly what we would do with it: digital sharing with third parties is limited to raster with your own information overlaid, internet publication requires a separate agreement with Energinet, and the data may not be used ""i forbindelse med projektering"" - i.e. design/routeing use. Marked unusable for ODbL fusion and for study work rather than complements_osm, to avoid inflating it. It remains the reference to cite if Denmark becomes commercially material - then negotiate a licence with Energinet directly."
Denmark,Energinet,WMS_WFS_TowerSubstationLine_N (Tower / Substation),"Energinet asset service with three layers, verbatim: 0 Tower, 1 Substation, 2 hovedkort_line_tab. Substation is the layer of interest; Tower is a pylon layer (excluded per instruction 6). Query supported, maxRecordCount 15,000.",132.0,Energinet transmission assets only (400/150/132 kV estate). Service description and copyrightText fields are both empty - no voltage documentation on the service itself.,"ArcGIS REST / WMS / WFS (MapServer, Query capability confirmed)",arcgis_rest,https://agis.energinet.dk/server/rest/services/INSPIRE/WMS_WFS_TowerSubstationLine_N/MapServer,small,Rettigheder til Energinets GIS produkter (assumed same Energinet terms as the cables dataset - no separate licence record found),,no,"unknown - no dates exposed on the service, no separate metadata record located",True,unusable,"Fetch-verified the MapServer JSON this session (layer names, Query support, maxRecordCount 15000). This is the only authoritative Danish substation geometry found - GeoDanmark has no substation object type - but it sits behind the same Energinet rights regime as the cables dataset, so it cannot be fused or published. Recorded so the gap is explicit rather than invisible: Denmark = authoritative lines available and mixable (GeoDanmark), authoritative substations available but not mixable (Energinet). No standalone metadata record for this service was found on geodata-info.dk, so the licence is inferred from the sibling Energinet INSPIRE dataset - treat as inferred, not established."
Sweden,Lantmateriet,"Topografi 10 Nedladdning, vektor - Tema Ledningar","Two layers: Ledningslinje (line) and Transformatoromraade (transformer area, polygon - the Swedish substation proxy). Ledningslinje power classes verbatim: ""Kraftledning stam"" = ""ledningslinje foer elkraftdistribution i regel med en spaenning hoegre aen 200 kV""; ""Kraftledning region"" = ""i regel med en spaenning mellan 25 och 200 kV""; ""Kraftledning foerdelning"" = ""i regel med en spaenning mellan 6 och 24 kV"". Also Roerledning (pipeline) and Telefonledning in the same theme.",6.0,"No kV attribute. Voltage is encoded only in the three class names (>200 kV / 25-200 kV / 6-24 kV). Attributes are objektidentitet (UUID), versiongiltigfran, lagesosakerhetplan, objekttypnr. A 50 kV floor cannot be applied from the data - the 25-200 kV ""region"" class straddles it, so you would take stam + region and inherit OSM voltages by spatial match.",GeoPackage (.gpkg) plus JSON metadata; SWEREF 99 TM (EPSG:3006); QGIS/ArcGIS style files included,api_key_or_registration,https://geotorget.lantmateriet.se/geodataprodukter/topografi-10-nedladdning-vektor,"not stated; selectable as whole Sweden, per laen or per kommun",Creative commons Erkaennande 4.0 Internationell (CC BY 4.0),Produkten aer avgiftsfri och faar anvaendas enligt anvaendningsvillkor foer vaerdefulla datamaengder som innehaaller personuppgifter,yes,Metadata revision 2026; metadata stamp 2026-06-15; update frequency stated as weekly,True,complements_osm,"Verified this session: the Tema Ledningar content page (class definitions quoted above), the Atkomst och leverans page (GeoPackage, EPSG:3006, order via Geotorget, manual browser download or Geotorget download API), Lantmateriet's open-data page (CC0 statement for some products), and the Arctic-SDI harvested ISO record d09898c1-94aa-4ea5-bda5-da34946aca70 which is where CC BY 4.0 is actually asserted for this product. Two licence caveats: (1) Lantmateriet's general open-data page says ""Vissa produkter tillhandahaalls enligt Creative Commons, CC0"" - CC0 applies to some products, but the ISO record for Topografi 10 names CC BY 4.0, so treat CC BY 4.0 as the operative licence and attribute; (2) access constraints flag ""Innehaaller personuppgifter - Icke Kaensliga"" (contains non-sensitive personal data) via the place-name register - relevant to redistribution paperwork, not to the Ledningar theme. Geotorget product pages are JS-only - use the geotorget.lantmateriet.se/dokumentation/GEODOK/51/ documentation tree and the Arctic-SDI record for metadata. Classed complements_osm not supersedes because there is no kV attribute: geometry is better than OSM, attribution is worse."
Sweden,Svenska kraftnaet (data service hosted by Metria),Transmissionsnaet foer el i Sverige (INSPIRE US.TransmissionsnatForEl / SVK_STAMNAT),"The Swedish transmission grid: ""hoegspaenningsledningar och stationer"" - lines (overhead and cable) plus substations, in one pre-defined dataset download.",220.0,"Not stated in the metadata. Svenska kraftnaet's transmission remit is 220 kV and 400 kV, so treat the floor as 220 kV pending inspection of the shapefile. No per-feature voltage documented.","GML (INSPIRE US schema) and ESRI Shapefile, via an INSPIRE ATOM pre-defined dataset download service; WMS also published; WFS is published in the metadata but returns ""Service WFS is disabled""",direct_file,https://gis-services.metria.se/svkfeed/filer/SVK_STAMNAT.zip,unknown - could not retrieve the file (see notes),Villkor okaenda (conditions unknown),Villkor foer aatkomst och anvaendning okaend,unclear,Data revision 2026-02-02; metadata updated 2026-02-16,True,complements_osm,"Download offer seen with my own eyes on a fetched metadata page - the Laensstyrelsen Planeringskatalogen record 08ec56a0-6b5c-4f83-b29e-375e6f1a34b9_C - which lists, verbatim: ATOM https://gis-services.metria.se/svkfeed/svk_topfeed_transmission.xml, GML https://gis-services.metria.se/svkfeed/filer/US.TransmissionsnatForEl.zip, Shapefile https://gis-services.metria.se/svkfeed/filer/SVK_STAMNAT.zip, WMS https://inspire-skn.metria.se/geoserver/skn/ows?. The URLs are copied from that page, not constructed. I could NOT open the files or the ATOM feed: gis-services.metria.se is robots-disallowed to WebFetch and the agent proxy refuses CONNECT to that host (403), so file contents, size and layer list are unverified. I did fetch the GeoServer WFS endpoint directly and it returns an OWS ExceptionReport ""Service WFS is disabled"" - so the ATOM/static zips are the only vector route. Licence is the blocker: the ISO record explicitly says access/use conditions are unknown, and svk.se's own transmission map page offers only a PDF and points elsewhere for data. Do not fuse until Svenska kraftnaet confirms terms in writing. Until then Lantmateriet Topografi 10 (CC BY 4.0) is the usable Swedish source and this is a cross-check."
Finland,Maanmittauslaitos / National Land Survey of Finland,Maastotietokanta (Topographic Database) - Johtoverkosto theme,"Nationwide topographic database. Johtoverkosto (utility networks) theme contains the sahkolinja (power line) table plus muuntoasema (substation, kohdeluokka 24221); muuntaja (transformer, 24211) was removed in the May 2025 update. Line geometry is ""viiva"".",,"No kV attribute. Only a two-way class split by kohdeluokka: 24311 ""Suurjaennitelinjan symboli"" (high-voltage/transmission line) and 24312 ""Jakelujaennitelinjan symboli"" (distribution-voltage line). No kV thresholds are published for either class. Because Finland's network is effectively 400/220/110 kV transmission and 20 kV distribution with very little 50-110 kV, 24311 is a workable proxy for "">= 110 kV"" but it is not a 50 kV filter and it carries no rating.",GeoPackage (thematic download by theme) and OGC API Features / OGC API Processes file service,api_key_or_registration,https://avoin-paikkatieto.maanmittauslaitos.fi/tiedostopalvelu/ogcproc/v1/,"not stated; selectable by bounding box, polygon, map sheet, municipality or theme",Creative Commons Attribution 4.0 International (Maanmittauslaitoksen avoimen tietoaineiston Nimeae CC 4.0 -lisenssi),Kaeyttaejae tunnistetaan API-avaimella (API key required; use is free of charge under the NLS open data CC BY 4.0 licence),yes,"avoindata.suomi.fi record last modified 2026-06-18; object catalogue ""Maanmittauslaitoksen maastotietokohteet"" updated 27.5.2025",True,complements_osm,"Verified this session: the avoindata.suomi.fi dataset record (CC BY 4.0 with licence URL, distribution endpoints), the NLS thematic GeoPackage page (10 themes listed, Johtoverkosto explicitly containing a ""sahkolinja"" table), the paikkatiedon-tiedostopalvelu page (API key required, free, 24/7, CC BY 4.0), and the Maastotietokohteet object catalogue (codes 24311/24312 for sahkolinja, 24221 muuntoasema). The OGC API Features endpoint returns HTTP 401 without a key - confirmed by direct fetch - so a free NLS account is a hard prerequisite. Substations (muuntoasema) live in the same dataset and theme, so no separate entry. Classed complements_osm: survey-grade geometry that improves on OSM, but with no kV attribute you must inherit voltage from OSM by spatial join, and there is no owner/operator or commissioning-date attribution. The karttapaikka file-service UI (asiointi.maanmittauslaitos.fi) is robots-disallowed; use the OGC API Processes endpoint instead."
Finland,Fingrid Oyj,"Fingrid Karttapalvelut (transmission grid map, Verkkokiikari, line-project map) and Fingrid Open Data (data.fingrid.fi)","Four browser map services: Finnish transmission grid map, Verkkokiikari connection-capacity viewer, vegetation-management map, and a power-line project map showing route alternatives for schemes in planning or construction. No vector export offered. The separate data.fingrid.fi ""Open data"" service is market and system time-series only (consumption, production, transmission capacity) - no geometry.",110.0,Fingrid's estate is 400/220/110 kV. Voltage is shown cartographically only; nothing is exposed as attributed geometry.,web map viewers only; time-series API (JSON/CSV) on the separate open-data service,viewer_only_no_download,,,"unknown - no licence or terms statement about map data on the Karttapalvelut page; only a general ""Sivuston kaeyttoeehdot"" site-terms link",,unclear,unknown,True,metadata_only,"Recorded as a verified negative so nobody re-searches it. Fetched the Karttapalvelut page this session: four viewers described, no shapefile, GeoPackage, WFS or ArcGIS REST offer and no data licence. I also probed candidate ArcGIS hosts (kartta.fingrid.fi, gis.fingrid.fi) - the agent proxy refused CONNECT (403) so I cannot state whether a public FeatureServer exists behind the viewers; that is the one remaining thing worth a browser check, since the project map with ""route alternatives for schemes in planning or construction"" would be directly useful as a compelling-event layer if it is backed by a public service. Finland's usable authoritative geometry is the NLS Maastotietokanta entry, not Fingrid."
Germany,Geobasis NRW (Bezirksregierung Koeln) - ATKIS Basis-DLM for North Rhine-Westphalia,Digitales Basis-Landschaftsmodell NW (adv:AX_Leitung),"ATKIS Basis-DLM object class AX_Leitung (object type 51005) - overhead line centrelines. Schema elements verified by DescribeFeatureType: bauwerksfunktion (AX_Bauwerksfunktion_Leitung), spannungsebene (gml:MeasureType, minOccurs=0), name, hat3D, qualitaetsangaben, ergebnisDerUeberpruefung. 3,518 AX_Leitung features in NRW (numberMatched, verified). Substations are carried separately as AX_IndustrieUndGewerbeflaeche with funktion 2540 ""Umspannstation"" (""Anlage zur Umformung des elektrischen Stroms auf andere Spannungsebenen"", Nutzungsartkennung 12030400).",,"CAUTION - the schema has a voltage field but the data does not. spannungsebene exists in AX_Leitung (gml:MeasureType, optional) but a live GetFeature of 3 features returned bauwerksfunktion=1110 for all three and NO spannungsebene element at all. bauwerksfunktion 1110 decodes to ""Freileitung"" and is the ONLY permitted value of AX_Bauwerksfunktion_Leitung in the Saxon ATKIS catalogue - so the class does not distinguish 380 kV from an 11 kV wood-pole overhead line. A 50 kV floor cannot be derived from this data.",Shapefile and NAS (zip); WFS 2.0.0 / 1.1.0 with GML 3.1/3.2 output; Atom feed,wfs_wms,https://www.wfs.nrw.de/geobasis/wfs_nw_atkis-basis-dlm_aaa-modell-basiert?REQUEST=GetCapabilities&SERVICE=WFS,"basis-dlm_EPSG25832_Shape.zip = 4,691,808,737 bytes (4.69 GB); basis-dlm_EPSG25832_NAS.zip = 1,182,730,388 bytes (1.18 GB); both timestamped 2026-08-19. WFS is the sane route for AX_Leitung alone.",Datenlizenz Deutschland - Zero - Version 2.0 (DL-DE/Zero-2.0),Es gelten die durch den IT-Planungsrat im Datenportal fuer Deutschland (GovData) veroeffentlichten einheitlichen Lizenzbedingungen 'Datenlizenz Deutschland - Zero'... Jede Nutzung ist ohne Einschraenkungen oder Bedingungen zulaessig.,yes,"Dataset last update 15.07.2026, monthly update cycle; download files timestamped 2026-08-19; WFS response timestamp 2026-08-19T21:27:54+02:00",True,complements_osm,"Most thoroughly verified entry in this survey, and the result is a downgrade. Verified this session: opengeodata.nrw.de directory listing (both zip names and exact byte sizes), the Open.NRW DCAT record 4c8955f8-7c72-498e-bb3a-55b1680a4ec6 (DL-DE/Zero-2.0 with licence URL https://www.govdata.de/dl-de/zero-2-0, ""Ueberlandleitung"" in keywords, monthly updates), WFS GetCapabilities (adv:AX_Leitung and adv:AX_IndustrieUndGewerbeflaeche feature types, Fees text quoted above, AccessConstraints NONE), DescribeFeatureType for adv:AX_Leitung, a live GetFeature (geometry returned as LineString with Z in EPSG:25832; spannungsebene absent), and RESULTTYPE=hits (3,518). The licence is the best in the region - DL-DE/Zero is CC0-equivalent, no attribution even required. The killer is the missing voltage: geometry is cadastral-grade and clearly better than OSM, but you cannot filter to 50 kV+ and you cannot rate a line, so this is a geometry-refinement source only, joined to OSM voltages. Scope is NRW only - Basis-DLM is held per Bundesland, so national coverage means 16 separate acquisitions (see the Sachsen and basemap.de entries). Before investing, sample spannungsebene across several Laender - it may be populated in some even though NRW leaves it empty."
